grid_x,grid_y,foot_traffic,count,foot_count,x_5179,y_5179,geometry,lat,lon
37,70,0.0447094167580774,4,826.0517707215595,960438.9228871616,1947196.2931122007,POINT (127.05228877492279 37.52321759850883),37.52321759850883,127.05228877492279
37,71,0.0838342818435655,4,1548.9232914570798,960438.9228871616,1947296.2931122007,POINT (127.05228338865366 37.52411893396865),37.52411893396865,127.05228338865366
37,72,0.1710115738691505,4,3159.6120829058027,960438.9228871616,1947396.2931122007,POINT (127.05227800214459 37.525020269289925),37.525020269289925,127.05227800214459
37,73,0.112564998831875,4,2079.7523955519196,960438.9228871616,1947496.2931122007,POINT (127.0522726153956 37.52592160447262),37.52592160447262,127.0522726153956
37,74,0.1140365588657446,4,2106.940958048241,960438.9228871616,1947596.2931122007,POINT (127.05226722840663 37.52682293951674),37.52682293951674,127.05226722840663
37,75,0.0715414320479922,4,1321.8004373211459,960438.9228871616,1947696.2931122007,POINT (127.0522618411777 37.527724274422326),37.527724274422326,127.0522618411777
37,76,0.0351205605403032,4,648.8879374121976,960438.9228871616,1947796.2931122007,POINT (127.0522564537088 37.528625609189326),37.528625609189326,127.0522564537088
37,77,0.018392045100188,1,339.8116666206853,960438.9228871616,1947896.2931122007,POINT (127.0522510659999 37.52952694381776),37.52952694381776,127.0522510659999
37,78,0.0397116698483257,1,733.7133332340533,960438.9228871616,1947996.2931122007,POINT (127.05224567805098 37.53042827830761),37.53042827830761,127.05224567805098
38,10,0.0273739612136515,1,505.76166659823116,960538.9228871616,1941196.2931122007,POINT (127.05374236143673 37.46914149355764),37.46914149355764,127.05374236143673
38,15,0.0904612699614063,3,1671.3636108849578,960538.9228871616,1941696.2931122007,POINT (127.05371556746799 37.473648211722434),37.473648211722434,127.05371556746799
38,16,0.038182209290891,2,705.4549999045436,960538.9228871616,1941796.2931122007,POINT (127.0537102079582 37.474549554939905),37.474549554939905,127.0537102079582
38,17,0.0948473021827862,3,1752.3999997628807,960538.9228871616,1941896.2931122007,POINT (127.05370484820969 37.475450898018885),37.475450898018885,127.05370484820969
38,18,0.0545548191991531,3,1007.9555554191677,960538.9228871616,1941996.2931122007,POINT (127.05369948822248 37.47635224095937),37.47635224095937,127.05369948822248
38,20,0.042847041439304,1,791.642499892882,960538.9228871616,1942196.2931122007,POINT (127.0536887675318 37.47815492642485),37.47815492642485,127.0536887675318
38,21,0.0418087357252838,4,772.458749895478,960538.9228871616,1942296.2931122007,POINT (127.05368340682833 37.47905626894985),37.47905626894985,127.05368340682833
38,22,0.120602114478093,4,2228.2462496984936,960538.9228871616,1942396.2931122007,POINT (127.05367804588612 37.47995761133633),37.47995761133633,127.05367804588612
38,23,0.0893921660565681,3,1651.6108331098515,960538.9228871616,1942496.2931122007,POINT (127.0536726847051 37.48085895358431),37.48085895358431,127.0536726847051
38,24,0.062564746815925,4,1155.9470831769204,960538.9228871616,1942596.2931122007,POINT (127.05366732328532 37.48176029569379),37.48176029569379,127.05366732328532
38,25,0.0400720357430106,4,740.3714582331529,960538.9228871616,1942696.2931122007,POINT (127.05366196162672 37.48266163766477),37.48266163766477,127.05366196162672
38,26,0.0245550058901633,3,453.6786110497219,960538.9228871616,1942796.2931122007,POINT (127.05365659972932 37.483562979497236),37.483562979497236,127.05365659972932
38,27,0.0410386907477848,3,758.2313887862914,960538.9228871616,1942896.2931122007,POINT (127.0536512375931 37.484464321191204),37.484464321191204,127.0536512375931
38,28,0.0418769773597101,2,773.7195832286392,960538.9228871616,1942996.2931122007,POINT (127.05364587521804 37.48536566274666),37.48536566274666,127.05364587521804
38,29,0.0220373007736393,4,407.16145827823914,960538.9228871616,1943096.2931122007,POINT (127.05364051260415 37.486267004163594),37.486267004163594,127.05364051260415
38,30,0.152914212654306,4,2825.2449996177133,960538.9228871616,1943196.2931122007,POINT (127.05363514975139 37.48716834544203),37.48716834544203,127.05363514975139
38,31,0.2087279426704419,4,3856.460207811512,960538.9228871616,1943296.2931122007,POINT (127.05362978665976 37.48806968658196),37.48806968658196,127.05362978665976
38,32,0.2111300662436609,4,3900.841874472173,960538.9228871616,1943396.2931122007,POINT (127.05362442332925 37.48897102758337),37.48897102758337,127.05362442332925
38,33,0.3088777168207385,4,5706.828749227804,960538.9228871616,1943496.2931122007,POINT (127.05361905975984 37.48987236844627),37.48987236844627,127.05361905975984
38,34,0.2809466594090583,4,5190.774165964299,960538.9228871616,1943596.2931122007,POINT (127.05361369595157 37.49077370917064),37.49077370917064,127.05361369595157
38,35,0.1209572934673192,4,2234.8085413642734,960538.9228871616,1943696.2931122007,POINT (127.05360833190434 37.4916750497565),37.4916750497565,127.05360833190434
38,36,0.132475978454181,4,2447.627916335475,960538.9228871616,1943796.2931122007,POINT (127.05360296761822 37.49257639020385),37.49257639020385,127.05360296761822
38,37,0.1466943688011335,4,2710.3270829665976,960538.9228871616,1943896.2931122007,POINT (127.05359760309315 37.49347773051267),37.49347773051267,127.05359760309315
38,38,0.1606203304390288,4,2967.623332931782,960538.9228871616,1943996.2931122007,POINT (127.05359223832913 37.494379070682974),37.494379070682974,127.05359223832913
38,39,0.1925051741919023,4,3556.7281245187355,960538.9228871616,1944096.2931122007,POINT (127.05358687332617 37.49528041071476),37.49528041071476,127.05358687332617
38,40,0.1754656823453625,4,3241.9062495613343,960538.9228871616,1944196.2931122007,POINT (127.05358150808425 37.496181750608024),37.496181750608024,127.05358150808425
